index,type,sentence,label
233,train,"I want you to be presented to the Finance and Security company as the person I contacted to assist my family for this purpose, with whose name and adress myself and my mother will forward to them their office in the Republic of Togo as the person that will clear this money when they lift it out to their europe office. ",PURPOSE
234,train,"If you have some business about battery, we are appreciated your enquiry, we will supply good quality and competitive price. ",MOTIVATION
235,train,We later find out that the Governor has been assasinated in Baghdad.,MOTIVATION
236,train,"I am Mr. Ben Suleman a custom officer and work as Assistant controller of the Customs and Excise department Of the Federal Ministry of Internal Affairs stationed at the Murtala Mohammed International Airport, Ikeja, Lagos-Nigeria. ",SELF-INTRO
237,train,"This amount (US$18.5m) represents the balance of the total contract value executed on behalf of my Department by a foreign contracting firm, which we the officials over-invoiced deliberately. ",MOTIVATION
238,train,"I have two options, firstly you can choose to have certain percentage of the money for nominating your account for this transaction, or you can go into partnership with me for proper profitable investment of the money in your country.Whichever the option you want, feel free to notify me. ",BENEFITS
239,train,"The story is that my father Mr. Christopher was Poisoned to death by his business associates about seven months ago, and he died in a private hospital here in Accra Ghana. ",MOTIVATION
240,train,Our Government have Assigned me to contact a Company with there good products to supply for the new project.,MOTIVATION
241,train,"On the 18th day of March 2007, we were alerted on the presence of some terrorists hideouts in Haifa Street, a long thoroughfare of high-rise buildings built by Saddam Hussein here in Baghdad. ",MOTIVATION
242,train,"You should observe utmost confidentiality,and rest assured that this transaction would be most profitable for both of us because I shall require your assistance to invest my share in your country. ",RAPPORT
243,train,All I require is your honest co-operation to enable us see this deal through.,PURPOSE
244,train,"When you receive this letter, kindly send me an e-mail signifying your interest including your most confidential telephone/fax numbers for quick communication also your contact details. ",PURPOSE
245,train,"All blocks are ideally produced for gang saw processing and dimension of 240 x 120 are standard, smaller blocks are also available for selection. ",MOTIVATION
246,train,The bank had issued me a notice to provide the next of kin or have the account confiscated within the next thirty official working days,MOTIVATION
247,train,Also your area of specialization is not a hind!rance to the successful execution of this transaction.,MOTIVATION
248,train,"Our inability to move this money out of Congo all This while lies on our lack of trust on our supposed good friends (western countries) who suddenly became hostile to those of us who worked with the late President Kabila, immediately after his son took office. ",MOTIVATION
249,train,"As a reliable person, in a related area of my interest for investment. ",RAPPORT
250,train,"At the height of the present political crises in our country,in which the white farmers in our country are being slained and ripped off their belongings by the supporters of our president,Mr.Robert G.Mugabe,in their efforts to reclaim all the white owned farms in our country,my father and my elder brother were brutally slained to a painful death on the 13th of february,2002, in their struggle to protect some white farmers who ran to take refuge in our house. ",MOTIVATION
251,train,"I therefore made further investigation,with the personel department and discovered that did not declare any kin or relations in all his official documents, including his Bank Deposit paperwork in my Bank. ",MOTIVATION
252,train,"There is an Investor from Democratic Republic of Congo [DRC] former Minister, who lodged some fund cash {for safekeeping in our company}. ",MOTIVATION
253,train,"Recently, the Federal Government of Nigeria directed that all funds not claimed (which has exceeded the stipulated banking period of seven years for such money) should be confiscated to the Federal Government Treasury Because the banking ethics here does not allow such money to stay more than seven years. ",MOTIVATION
254,train,"Thus, if you are willing to assist us move this fund out of Congo, you can contact me through my email address above with your telephone, fax number and personal information to enable us discuss the modalities and what will be your share (percentage) for assisting us. ",PURPOSE
255,train,We (myself and the chairman) have reasoned that if we fail to collect this money the Nigerian government will confisticate it and someone else will end up looting it.,MOTIVATION
256,train,I am making this proposal to you as a reliable partner.,MOTIVATION
257,train,Given that I am the only child and I have seriously suffered from the raggings and the harassments on behalf of the political opponents of my Father.,MOTIVATION
258,train,My husband made this money when he was on sit as the commander and chief army officer while Charles Taylor is the president of Liberia.,MOTIVATION
259,train,"A lot of people were killed because of this land reforms Act"" of which my late husband was one of the main targets. "" ",MOTIVATION
260,train,"Firstly, I must solicit your confidence in this transaction, this is by virtue of its nature as being utterly confidential and top secret. ",RAPPORT
261,test,"However, I am Mr jordan Hamson a citizen of republic of Sierra- Leone. ",SELF-INTRO
262,test,Please get in touch with me via my private email address of barrister_tunde@lawyer.com to enable us discuss further.,PURPOSE
263,test,"You take the other 40%. No strings attached, just help us move it out of Iraq, Iraq is a war zone. ",BENEFITS
264,test,"I am Miss Medina ZACHI , the legitimate daughter of the Director of cocoa export here murdered by the rebelles here because of the political crisis going on here since four years ago. ",SELF-INTRO
265,test,Thank you in advance for your anticipated co-operation.,OTHER
266,test,Thanking you in anticipation of your urgent response as soon as you read this very request.,OTHER
267,test,All I require is your honest co-operation to enable us see this deal through.,PURPOSE
268,test,I got your contact information from your country's information directory during my desperate search for someone who can assist me secretly and confidentially in relocating and managing some family fortunes.,RAPPORT
269,test,The money will be paid into your account for us to share in the ratio of 60% for me and 30% for you and 10% for Expenses Incurred in the course of the transaction.,BENEFITS
270,test,"Trust me as his Manager of his Estates, as i have all the needed information, that this is a risk-free relationship. ",RAPPORT
271,test,"Now this is what I actually want you to do for me; 1. I want you to be presented to the Finance and Security company as the person I contacted to assist my family for this purpose, with whose name and adress myself and my mother will forward to them their office in the Republic of Togo as the person that will clear this money when they lift it out to their europe office.2. To finally assist me in accommodating and managing this money in any lucrative business in your country for at least three years. ",PURPOSE
272,test,Now that the war is over I want to move the money to your country for safety reasons. Be rest assured that this transaction is risk free as no person is aware of this money.,RAPPORT
273,test,"My name is Mrs chrrey Mohameed, a Liberian. ",SELF-INTRO
274,test,I took this decision because I dont have any child that will inherit this money and my husband's relatives are not Christians and I dont want my husband's hard earned money to be misused by unbelievers.,MOTIVATION
275,test,"As soon as the funds reach, I will then come over to meet you in person, so that we can discuss physically on investment potentials. ",RAPPORT
276,test,I have reposed my confidence in you and hope that you will not disappoint me.,RAPPORT
277,test,I have contacted you to assist in repatriating the money and estate left behind by my client before they get confiscated or declared unserviceable by my Bank.,MOTIVATION
278,test,"If you do not prefer a partnership, I am willing to give you 20% of the total money, while 75% will be for my family. ",BENEFITS
279,test,"My name is Mr.Mike Tutu, I work in a Security Company in Nigeria. ",SELF-INTRO
280,test,"That Is my problem now, My mother Is willing to give Seven Million USDOLLARS to the you if you will help the family. ",BENEFITS
281,test,"So I will like you to be the ultimate beneficiary, so that the funds can be moved in your name and particulars to any Country of your choice where it will be claimed and invested. ",PURPOSE
282,test,I have an urgent and very confidential business proposition for you.,MOTIVATION
283,test,Unfortunately my father died from protracted diabetes.,MOTIVATION
284,test,I am available to entertain any questions concerning the clarity of this transaction.,OTHER
285,test,"In fact, earlier, many suppliers refused to work with us for the reason of bureaucracy that occurred then registration of legal documents were needed to transport equipment, or transfer money. ",MOTIVATION
286,test,Among the Arab fighters linked to al Qaeda two were interrogated by two of our intelligent investigators and I.,OTHER
287,test,And it was my husband's refusal to realise the money to former President Charles Taylor that resulted in the killing in February 2003.,MOTIVATION
288,test,Everything will be left between you and I.,RAPPORT
289,test,THIS BUSINESS IS HIGHLY CONFIDENTIAL BECAUSE NONE OF OUR LATE FATHER'S BROTHERS AND SISTERS KNOWS ABOUT THIS TRANSACTION.,RAPPORT
290,test,"NOTE, For easy reference and identification, remember to quote your Coupon numbers in your correspondence with your claims agent. ",OTHER
291,test,"Nevertheless if you are for any reason not interested, kindly inform me immediately so that I will look foranother contact. ",PURPOSE
292,test,But I believe it is one day that you got to know somebody either in physical or through correspondence.,OTHER
293,test,"As it is legally required, the administration of my late husband's properties is under the authority of the family's lawyer Tony Musa. ",MOTIVATION
294,test,"I however instructed them to keep this in high secrecy so that we can have the money to our selves, they all agreed to the plan and they replied to me on how I can get this huge sum out of this country and I told them that it's no problem. ",RAPPORT
295,test,"But when President Kabila was killed in a bloody shoot-out by one of his aide a day before we were schedule to travel out of Congo, We immediately decided to divert the fund into a private security company here in Congo for safe keeping. ",MOTIVATION
296,test,"The amount contained in the safe is US$30,5 Million (Thirty Million, Five Hundred Thousand United States Dollars) and we decided to move this money to the Republic of South Africa, where we deposited it with a private Security Company as a valuables in a box/consignment. ",MOTIVATION
297,test,"William Adams's next of kin (he had no known wife and children) that the management under the influence of our chairman, board of directors, Retired Major General Kalu Uke Kalu, that an arrangement for the fund to be declared UNCLIAMABLE "" and then be subsequently donated to the trust fund for Arms and Ammunition which will further enhance the course of war in Africa and the world in general. "" ",MOTIVATION
298,test,The English Bar considers it a breach of the oath of the English Bar.,OTHER
299,test,"With due respect trust and humility, I write you this proposal, which I believe will be a great interest to you. ",MOTIVATION
300,test,"I am Miss Louisa. Christopher the only daughter of Mr.Christopher from Republic of Zimbabwe in desire to get somebody who will safe guard my interest, that of my junior brother (Louis) and this money. ",SELF-INTRO
301,test,"If you are interested, please reply immediately to my email, ericwong014777@yahoo.com.hk ",PURPOSE
302,test,The balance of 55% you will invest andmanaged for my Family.,PURPOSE
